CID,FormalCharge,NumRotatableBonds,NumHAcceptors,NumHDonors,TPSA,LabuteASA,MolLogP
LON-WEI-adc59df6-4,0,6,5,1,80.76,204.94399909813342,5.049300000000005
LON-WEI-adc59df6-6,0,7,5,1,88.60000000000002,200.7595923345893,4.097300000000003
LON-WEI-adc59df6-7,0,10,5,1,88.60000000000002,195.400481373722,4.098900000000003
LON-WEI-adc59df6-8,0,6,3,1,62.3,185.11958289064208,5.088300000000005
LON-WEI-adc59df6-10,0,9,4,1,62.3,183.5186398407433,4.508700000000005
LON-WEI-adc59df6-14,0,6,3,1,62.3,172.38969866184883,4.308100000000003
LON-WEI-adc59df6-16,0,6,3,1,62.3,193.52333308117846,5.725620000000006
LON-WEI-adc59df6-17,0,8,4,1,62.3,177.1536977263467,4.118600000000003
LON-WEI-adc59df6-18,0,7,4,1,71.53,194.47134290775918,5.286700000000004
LON-WEI-adc59df6-19,0,7,4,1,71.53,183.86818600575242,3.792100000000003
LON-WEI-adc59df6-21,0,6,3,1,62.3,167.03058770098144,4.164000000000003
LON-WEI-adc59df6-23,0,7,3,1,62.3,193.52333308117852,5.094900000000004
LON-WEI-adc59df6-26,0,8,4,1,71.53,172.14413293048835,3.402000000000002
LON-WEI-adc59df6-27,0,9,4,1,71.53,178.50907504488498,3.792100000000003
LON-WEI-adc59df6-28,0,7,4,1,75.19,188.5774456591988,4.350800000000003
LON-WEI-adc59df6-30,0,6,3,1,62.3,160.66564558658484,3.7755000000000023
LON-WEI-adc59df6-31,0,7,3,1,62.3,173.39552981537813,4.5541000000000045
LON-WEI-adc59df6-32,0,7,4,1,71.53,183.86818600575242,3.9346000000000014
LON-WEI-adc59df6-37,0,7,5,1,84.42,193.69099088870567,4.681700000000004
LON-WEI-adc59df6-39,0,6,4,1,71.53,183.86818600575242,3.9346000000000014
LON-WEI-adc59df6-40,0,7,3,1,62.3,189.35779767825227,4.955800000000004
LON-WEI-adc59df6-41,0,6,3,1,62.3,187.15839096678192,5.417200000000005
LON-WEI-adc59df6-43,0,6,5,1,80.76,198.57905698373685,5.006800000000005
LON-WEI-adc59df6-44,0,6,3,1,62.3,166.02475654745226,3.918000000000003
