id,pose,qvina
LON-WEI-1908424e-3,6,-8.1
LON-WEI-1908424e-3,7,-8.0
LON-WEI-1908424e-3,8,-7.9
LON-WEI-1908424e-3,9,-7.4
LON-WEI-1908424e-3,10,-7.3
IAN-BAS-5394d4c4-1,1,-8.2
IAN-BAS-5394d4c4-1,2,-8.2
IAN-BAS-5394d4c4-1,3,-8.1
IAN-BAS-5394d4c4-1,4,-8.1
IAN-BAS-5394d4c4-1,5,-8.0
IAN-BAS-5394d4c4-1,6,-8.0
IAN-BAS-5394d4c4-1,7,-7.9
IAN-BAS-5394d4c4-1,8,-7.9
IAN-BAS-5394d4c4-1,9,-7.9
IAN-BAS-5394d4c4-1,10,-7.8
LON-WEI-adc59df6-41,1,-6.7
LON-WEI-adc59df6-41,2,-6.6
LON-WEI-adc59df6-41,3,-6.5
LON-WEI-adc59df6-41,4,-6.4
LON-WEI-adc59df6-41,5,-6.4
LON-WEI-adc59df6-41,6,-6.3
LON-WEI-adc59df6-41,7,-6.0
LON-WEI-adc59df6-41,8,-6.0
LON-WEI-adc59df6-41,9,-6.0
LON-WEI-adc59df6-41,10,-6.0
NEH-REV-107bcf72-5,1,-6.4
NEH-REV-107bcf72-5,2,-6.2
NEH-REV-107bcf72-5,3,-5.8
NEH-REV-107bcf72-5,4,-5.8
NEH-REV-107bcf72-5,5,-5.8
NEH-REV-107bcf72-5,6,-5.8
NEH-REV-107bcf72-5,7,-5.7
NEH-REV-107bcf72-5,8,-5.7
NEH-REV-107bcf72-5,9,-5.6
NEH-REV-107bcf72-5,10,-5.6
STU-CHA-7b3b91d5-1,1,-7.5
STU-CHA-7b3b91d5-1,2,-7.4
STU-CHA-7b3b91d5-1,3,-7.4
STU-CHA-7b3b91d5-1,4,-7.3
STU-CHA-7b3b91d5-1,5,-7.3
STU-CHA-7b3b91d5-1,6,-7.2
STU-CHA-7b3b91d5-1,7,-7.1
STU-CHA-7b3b91d5-1,8,-7.0
STU-CHA-7b3b91d5-1,9,-7.0
STU-CHA-7b3b91d5-1,10,-6.9
LOR-NOR-30067bb9-13,1,-5.8
LOR-NOR-30067bb9-13,2,-5.6
LOR-NOR-30067bb9-13,3,-5.5
LOR-NOR-30067bb9-13,4,-5.4
LOR-NOR-30067bb9-13,5,-5.4
LOR-NOR-30067bb9-13,6,-5.4
LOR-NOR-30067bb9-13,7,-5.3
LOR-NOR-30067bb9-13,8,-5.3
LOR-NOR-30067bb9-13,9,-5.2
LOR-NOR-30067bb9-13,10,-5.2
MAT-POS-590ac91e-68,1,-9.0
MAT-POS-590ac91e-68,2,-8.7
MAT-POS-590ac91e-68,3,-8.6
MAT-POS-590ac91e-68,4,-8.6
MAT-POS-590ac91e-68,5,-8.5
MAT-POS-590ac91e-68,6,-8.4
MAT-POS-590ac91e-68,7,-8.3
MAT-POS-590ac91e-68,8,-8.3
MAT-POS-590ac91e-68,9,-8.3
MAT-POS-590ac91e-68,10,-8.3
LON-WEI-babf2c61-3,1,-7.5
LON-WEI-babf2c61-3,2,-7.4
LON-WEI-babf2c61-3,3,-7.4
