id,pose,plants
NIR-THE-c331be7a-6,7,-68.3434
NIR-THE-c331be7a-6,8,-68.2471
NIR-THE-c331be7a-6,9,-67.1921
NIR-THE-c331be7a-6,10,-67.0166
LOR-NEU-c8f11034-9,1,-80.6171
LOR-NEU-c8f11034-9,2,-74.1127
LOR-NEU-c8f11034-9,3,-72.8084
LOR-NEU-c8f11034-9,4,-72.6759
LOR-NEU-c8f11034-9,5,-72.2672
LOR-NEU-c8f11034-9,6,-72.2444
LOR-NEU-c8f11034-9,7,-71.5572
LOR-NEU-c8f11034-9,8,-71.5305
LOR-NEU-c8f11034-9,9,-70.8984
LOR-NEU-c8f11034-9,10,-69.7642
ERI-UCB-5b47150d-4,1,-64.4302
ERI-UCB-5b47150d-4,2,-64.016
ERI-UCB-5b47150d-4,3,-61.5226
ERI-UCB-5b47150d-4,4,-60.8727
ERI-UCB-5b47150d-4,5,-60.7724
ERI-UCB-5b47150d-4,6,-60.7373
ERI-UCB-5b47150d-4,7,-60.5648
ERI-UCB-5b47150d-4,8,-58.9407
ERI-UCB-5b47150d-4,9,-58.4673
ERI-UCB-5b47150d-4,10,-57.886
LOR-NOR-f9b26152-1,1,-59.7841
LOR-NOR-f9b26152-1,2,-57.619
LOR-NOR-f9b26152-1,3,-55.0776
LOR-NOR-f9b26152-1,4,-53.0189
LOR-NOR-f9b26152-1,5,-52.6711
LOR-NOR-f9b26152-1,6,-52.3808
LOR-NOR-f9b26152-1,7,-52.0487
LOR-NOR-f9b26152-1,8,-51.9333
LOR-NOR-f9b26152-1,9,-51.8337
LOR-NOR-f9b26152-1,10,-51.7593
LOR-NOR-30067bb9-16,1,-71.544
LOR-NOR-30067bb9-16,2,-71.3342
LOR-NOR-30067bb9-16,3,-70.7844
LOR-NOR-30067bb9-16,4,-69.4227
LOR-NOR-30067bb9-16,5,-68.2814
LOR-NOR-30067bb9-16,6,-68.0516
LOR-NOR-30067bb9-16,7,-67.0479
LOR-NOR-30067bb9-16,8,-67.0214
LOR-NOR-30067bb9-16,9,-66.9584
LOR-NOR-30067bb9-16,10,-66.8668
MAT-POS-590ac91e-5,1,-63.5078
MAT-POS-590ac91e-5,2,-62.0984
MAT-POS-590ac91e-5,3,-59.0892
MAT-POS-590ac91e-5,4,-55.8513
MAT-POS-590ac91e-5,5,-55.6715
MAT-POS-590ac91e-5,6,-55.2886
MAT-POS-590ac91e-5,7,-53.8336
MAT-POS-590ac91e-5,8,-53.1361
MAT-POS-590ac91e-5,9,-52.7776
MAT-POS-590ac91e-5,10,-52.1691
JAG-UCB-a3ef7265-15,1,-72.4038
JAG-UCB-a3ef7265-15,2,-70.8492
JAG-UCB-a3ef7265-15,3,-69.1817
JAG-UCB-a3ef7265-15,4,-67.7458
JAG-UCB-a3ef7265-15,5,-67.0765
JAG-UCB-a3ef7265-15,6,-66.5422
JAG-UCB-a3ef7265-15,7,-66.3778
JAG-UCB-a3ef7265-15,8,-66.3684
JAG-UCB-a3ef7265-15,9,-66.1696
JAG-UCB-a3ef7265-15,10,-64.3026
WAR-XCH-eb7b662f-2,1,-57.3772
WAR-XCH-eb7b662f-2,2,-54.8354
WAR-XCH-eb7b662f-2,3,-54.5239
WAR-XCH-eb7b662f-2,4,-52.7769
WAR-XCH-eb7b662f-2,5,-52.3123
WAR-XCH-eb7b662f-2,6,-51.5569
WAR-XCH-eb7b662f-2,7,-50.8587
WAR-XCH-eb7b662f-2,8,-50.3856
WAR-XCH-eb7b662f-2,9,-49.2701
WAR-XCH-eb7b662f-2,10,-48.5645
IAN-BAS-647c7407-1,1,-91.0753
IAN-BAS-647c7407-1,2,-90.7763
IAN-BAS-647c7407-1,3,-90.5384
IAN-BAS-647c7407-1,4,-89.9464
IAN-BAS-647c7407-1,5,-87.9632
IAN-BAS-647c7407-1,6,-86.1445
IAN-BAS-647c7407-1,7,-83.8235
IAN-BAS-647c7407-1,8,-83.198
IAN-BAS-647c7407-1,9,-82.8932
IAN-BAS-647c7407-1,10,-81.9364
NAU-LAT-64f4b287-7,1,-76.6288
NAU-LAT-64f4b287-7,2,-74.4113
NAU-LAT-64f4b287-7,3,-73.4469
NAU-LAT-64f4b287-7,4,-73.0724
NAU-LAT-64f4b287-7,5,-71.2098
NAU-LAT-64f4b287-7,6,-70.7472
NAU-LAT-64f4b287-7,7,-70.6503
NAU-LAT-64f4b287-7,8,-70.3609
NAU-LAT-64f4b287-7,9,-69.7582
NAU-LAT-64f4b287-7,10,-69.688
LON-WEI-d1c9908a-11,1,-91.3956
LON-WEI-d1c9908a-11,2,-88.4325
LON-WEI-d1c9908a-11,3,-87.302
LON-WEI-d1c9908a-11,4,-84.2257
LON-WEI-d1c9908a-11,5,-81.9892
LON-WEI-d1c9908a-11,6,-81.6283
LON-WEI-d1c9908a-11,7,-77.6832
LON-WEI-d1c9908a-11,8,-77.2113
LON-WEI-d1c9908a-11,9,-75.9972
LON-WEI-d1c9908a-11,10,-73.2571
MAT-POS-590ac91e-37,1,-88.31700000000001
MAT-POS-590ac91e-37,2,-74.7117
MAT-POS-590ac91e-37,3,-73.0913
MAT-POS-590ac91e-37,4,-72.9464
MAT-POS-590ac91e-37,5,-71.9741
MAT-POS-590ac91e-37,6,-70.7654
MAT-POS-590ac91e-37,7,-70.3063
MAT-POS-590ac91e-37,8,-70.0783
